i	j	k	LDT	LTT	e+_D	e+_T	proton_D	proton_T	proton_1_D	proton_1_T	deuteron_D	deuteron_T	triton_D	triton_T	alpha_D	alpha_T	He6_D	He6_T	Li6_D	Li6_T	Li7_D	Li7_T	Li8_D	Li8_T	Be7_D	Be7_T	Be8_D	Be8_T	Be9_D	Be9_T	Be10_D	Be10_T	B10_D	B10_T	B11_D	B11_T	B12_D	B12_T	C11_D	C11_T	C12_D	C12_T	C13_D	C13_T	C14_D	C14_T	C15_D	C15_T	N14_D	N14_T	N15_D	N15_T	N16_D	N16_T	O15_D	O15_T	O16_D	O16_T	O17_D	O17_T	O18_D	O18_T	F20_D	F20_T	Ne20_D	Ne20_T	Na23_D	Na23_T	Mg24_D	Mg24_T	Al27_D	Al27_T	Si29_D	Si29_T	Si30_D	Si30_T	P31_D	P31_T	S32_D	S32_T	S34_D	S34_T	Cl35_D	Cl35_T	Cl36_D	Cl36_T	Cl37_D	Cl37_T	Ar38_D	Ar38_T	K39_D	K39_T	K40_D	K40_T	K41_D	K41_T	Mn54_D	Mn54_T	Fe56_D	Fe56_T
87	0	0	3.28134e-05	1.71808e-05	0.465617	0.0834294	0.00162082	0.00179555	2.15995e-05	1.70777e-05	3023.35	16254	0	0	0.194988	13.3885	0	0	0	0	0	0	0	0	0	0	1.05695e+07	1.92803e+09	0	0	0	0	0	0	312.576	81672.1	0	0	0	0	9.44531	2354.69	168.124	54802.3	0	0	0	0	184.971	41325.8	0	0	0	0	0	0	5.31967	1222.35	0	0	771.205	180032	0	0	0	0	779.62	186056	0	0	0	0	0	0	0	0	0	0	390.179	102578	0	0	0	0	0	0	0	0	0	0	2562.98	489311	0	0	0	0	0	0	0	0
88	0	0	3.05107e-05	1.7522e-05	0.380073	0.0640546	0.00159025	0.0017978	2.15167e-05	1.74571e-05	0.738959	3.89021	0	0	0.273065	19.0684	0	0	0	0	0	0	0	0	0	0	699187	4.27017e+08	0	0	0	0	0	0	171.298	62736.3	0	0	0	0	12.4653	2982.09	0	0	2019.57	141864	0	0	133.102	36805.7	274.981	112288	0	0	0	0	5.60721	1247.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	614.828	535455	0	0	0	0	0	0	0	0	0	0	23310.1	440785	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89	0	0	3.22086e-05	1.8056e-05	0.216361	0.0303538	0.00163519	0.00188259	2.17609e-05	1.79631e-05	3.85128	51.1947	0	0	0.25653	19.1425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.9741	2918.33	599.907	113710	0	0	0	0	391.54	86074.2	6313.21	171871	0	0	0	0	5.38945	1256.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2259.4	414181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	0	0	3.13337e-05	1.8586e-05	0.195485	0.0317121	0.00160314	0.00193414	2.26768e-05	1.85188e-05	7507.15	24989	0	0	0.313396	19.4178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118.11	52535	0	0	0	0	10.0131	2363.93	0	0	2019.22	141864	0	0	146.52	40431.5	0	0	0	0	0	0	5.77093	1317.14	0	0	1154.37	166954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	0	0	3.23161e-05	1.90868e-05	0.127794	0.0221358	0.00172755	0.00213487	2.29463e-05	1.90024e-05	1713.25	8407.29	0	0	0.310835	18.2833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117.823	52073.5	0	0	0	0	10.3027	2815.23	0	0	0	0	0	0	162.109	44276.2	171.837	65101	0	0	0	0	5.44172	1228.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1917.29	414181	0	0	0	0	0	0	0	0	0	0	0	0	2552.56	489311	0	0	0	0	0	0	0	0
92	0	0	3.32322e-05	1.9569e-05	0.116241	0.0183782	0.00192287	0.00228188	2.2877e-05	1.94715e-05	6.31691	117.88	0	0	0.268538	18.4843	0	0	0	0	0	0	0	0	0	0	0	0	395.924	69247.8	0	0	0	0	0	0	0	0	0	0	12.106	3091.35	151.009	66297.3	2020.07	141864	0	0	117.177	24310.8	262.878	118685	0	0	0	0	5.16922	1171.92	0	0	0	0	0	0	0	0	1029.74	203989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66328.4	440792	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	0	0	3.24455e-05	2.01441e-05	0.123891	0.0203107	0.00188887	0.00234825	2.3316e-05	2.00753e-05	0.446534	2.4761	0	0	0.391353	36.6967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5295	3123.27	266.504	59496	0	0	0	0	169.706	35382.2	110.28	49122.7	0	0	0	0	6.04764	1377.27	0	0	575.68	120477	0	0	0	0	1530.86	323294	0	0	0	0	0	0	0	0	0	0	1437.08	224423	1048.53	211315	2213.84	453393	34599	440785	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	0	0	3.32658e-05	2.07736e-05	0.121686	0.0205017	0.00188422	0.00247504	2.39411e-05	2.06837e-05	0.638528	3.6049	3.74493	62.4624	0.352913	25.4248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.5656	2482.28	114.291	65513.4	2020.83	141863	0	0	83.9867	29473.8	0	0	0	0	0	0	5.06817	1244.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	849.136	224555	0	0	3657.65	453393	23683.4	440785	0	0	0	0	2695.81	489311	0	0	0	0	0	0	0	0
95	0	0	3.20444e-05	2.13322e-05	0.045005	0.00811745	0.00200125	0.00262425	2.38722e-05	2.1259e-05	6.59851	123.427	0	0	0.465542	41.5229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478.925	93601.6	0	0	9.40631	2482.71	443.587	127372	2020.81	141863	0	0	136.73	43243.6	0	0	0	0	0	0	6.03892	1329.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23928.2	440785	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	0	0	3.44602e-05	2.21049e-05	0.0881826	0.0166078	0.00194845	0.002652	2.45955e-05	2.20056e-05	1.32637	10.5967	0	0	0.290065	18.7085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.6373	2789.53	640.8	213003	0	0	0	0	153.698	31480.7	0	0	0	0	0	0	5.38645	1252.08	0	0	0	0	0	0	0	0	0	0	1217.55	241429	0	0	0	0	0	0	0	0	0	0	0	0	2584.25	453393	16870.1	440787	0	0	0	0	0	0	47115.3	477062	0	0	0	0	0	0
97	0	0	3.45292e-05	2.2849e-05	0.206376	0.027445	0.00216813	0.00290726	2.48074e-05	2.27193e-05	11.7273	73.8893	0	0	0.221106	14.314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122.333	62964.3	0	0	0	0	10.8342	2537.78	1045.6	155316	0	0	0	0	95.299	26728.2	167.434	99526.9	0	0	0	0	6.40372	1375.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3581.13	414181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	0	0	3.60541e-05	2.36191e-05	0.175606	0.0256076	0.00220359	0.00308195	2.53734e-05	2.35094e-05	0.865051	5.10739	0	0	0.346196	27.3017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.66421	2388.86	133.957	78236.1	624.047	188857	0	0	126.641	30030.2	100.453	41258.5	0	0	0	0	6.12652	1445.8	0	0	428.308	122518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	988.244	224524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99	0	0	3.44767e-05	2.44277e-05	0.132807	0.023777	0.0023119	0.00327286	2.58637e-05	2.43306e-05	1.00002	7.06975	0	0	0.35771	27.4824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.4873	2985.97	669.041	174216	133.952	76176.7	0	0	91.2511	19238.4	0	0	0	0	0	0	5.70233	1336.48	0	0	878.411	170448	0	0	0	0	2587.28	323296	0	0	0	0	0	0	0	0	466.587	388970	0	0	0	0	0	0	11871.5	220394	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	0	0	3.68481e-05	2.53061e-05	0.212134	0.035397	0.00242038	0.00345325	2.59529e-05	2.51536e-05	0.845179	3.10398	0	0	0.223571	15.1061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.7789	2361.89	149.97	45018	0	0	0	0	138.047	45345.8	298.042	92827.1	0	0	0	0	5.7416	1347.95	2016.58	176673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	606.83	88622.8	1120.96	224494	0	0	8210.09	453391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	0	0	3.49646e-05	2.62122e-05	0.160991	0.0290307	0.00255183	0.00355773	2.65147e-05	2.61146e-05	0.434406	1.94837	0	0	0.368191	26.9137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.4937	2419.5	401.728	89986.2	0	0	0	0	152.451	23033.1	0	0	427.135	138721	0	0	4.93595	1134.51	1209.81	176771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1680.99	453393	22744	440785	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	0	0	3.6383e-05	2.72496e-05	0.186253	0.0248847	0.00263431	0.00373314	2.69938e-05	2.71738e-05	1.18468	9.13344	0	0	0.373342	29.189	0	0	0	0	0	0	0	0	0	0	0	0	408.63	49021.5	0	0	0	0	0	0	0	0	0	0	12.5542	3234.12	156.384	39125.8	135.527	76343	0	0	53.2546	19755.9	44593.6	167634	0	0	381.164	129649	5.6425	1295.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1066.93	453441	0	0	5109.47	428892	0	0	0	0	0	0	0	0	0	0	0	0
103	0	0	3.51043e-05	2.84005e-05	0.106064	0.0206892	0.00253029	0.00391628	2.74875e-05	2.83144e-05	2828	16291.9	0	0	0.371956	26.9424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.5675	3033.77	168.547	68477.5	0	0	0	0	219.34	52889.3	0	0	0	0	0	0	6.20031	1400.36	0	0	0	0	0	0	0	0	1175.15	222082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	0	0	3.64475e-05	2.96576e-05	0.0853826	0.0137903	0.00265853	0.00418628	2.84863e-05	2.9586e-05	2019.71	9978.7	0	0	0.450512	37.0146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.1707	2629.66	293.833	108745	0	0	0	0	93.8872	23072.3	0	0	0	0	0	0	5.95005	1442.27	0	0	1174.7	166951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	685.523	119805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	0	0	3.6388e-05	3.09279e-05	0.0585109	0.00981656	0.00270883	0.00455788	2.84737e-05	3.08194e-05	3037.6	16680.9	0	0	0.383659	30.0755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.6032	3275.9	651.796	170458	611.802	95457.7	0	0	169.549	51896.3	0	0	0	0	0	0	5.51421	1322.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48821.6	440792	0	0	0	0	2878.02	489311	0	0	0	0	0	0	0	0
106	0	0	3.88889e-05	3.24875e-05	0.167569	0.0232008	0.00309465	0.0051888	2.9347e-05	3.23462e-05	7.92269	38.339	25.3797	1126.5	0.37103	26.6611	0	0	107.78	30297.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.2335	2824.48	104.13	39107.8	0	0	0	0	80.8775	18227.3	550.94	127433	0	0	0	0	6.67173	1625.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2997.01	414181	0	0	0	0	2138.66	453393	0	0	0	0	0	0	0	0	159726	477062	0	0	0	0	0	0
107	0	0	3.9233e-05	3.40586e-05	0.259953	0.0473079	0.00323387	0.00546596	3.0079e-05	3.39524e-05	1.52936	14.8547	0	0	0.476064	45.6561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.95962	3021.07	0	0	188.954	90007.3	0	0	81.1998	19845	0	0	0	0	0	0	7.24266	1629.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1556.5	224396	0	0	0	0	39894.9	440923	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	0	0	3.9064e-05	3.59271e-05	0.810035	0.110039	0.00337828	0.00613495	3.07289e-05	3.57796e-05	1519.38	8290.14	0	0	0.367688	28.5708	0	0	0	0	0	0	0	0	0	0	0	0	153.875	43353.1	0	0	0	0	0	0	0	0	0	0	21.4491	4447.02	519.708	119735	0	0	0	0	101.203	26707.7	0	0	0	0	0	0	6.01819	1408.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2504.81	224182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	0	0	4.11389e-05	3.79632e-05	0.378427	0.0705546	0.00363644	0.00707232	3.14558e-05	3.77784e-05	1.63747	2.84063	0	0	0.43282	38.3562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295.403	83812.2	0	0	0	0	10.7419	2902.27	0	0	0	0	0	0	83.6731	20454.5	241.811	106651	0	0	0	0	6.95847	1565.47	0	0	0	0	0	0	0	0	701.816	452368	0	0	0	0	0	0	0	0	2038.41	414181	1102.64	224498	0	0	3382.68	453393	0	0	0	0	0	0	0	0	34309.7	477053	0	0	0	0	0	0
110	0	0	4.06559e-05	4.03431e-05	0.149222	0.0277107	0.00386255	0.00754235	3.26939e-05	4.01819e-05	0.353176	1.48251	0	0	0.42102	34.0374	0	0	0	0	133.617	38053.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4793	3172.06	0	0	2020.49	141863	0	0	165.499	59052.8	450.306	134051	0	0	0	0	6.58306	1668.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2734.69	224130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111	0	0	4.31236e-05	4.28594e-05	0.161395	0.0257636	0.00399166	0.00814774	3.34519e-05	4.26936e-05	1.52945	12.8261	55.4489	3580.89	0.428212	37.2117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	762.585	142466	0	0	0	0	11.5779	3035.96	403.674	66383.8	2019.83	141864	0	0	245.192	40021.1	0	0	0	0	0	0	5.44349	1413.99	0	0	1113.59	166958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4036.71	453393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	0	0	4.32122e-05	4.58455e-05	0.092471	0.0164847	0.00429708	0.00943198	3.45289e-05	4.56334e-05	1791.72	9880.09	7.6301	195.931	0.400716	31.8415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148.534	60293.4	0	0	0	0	0	0	9.98233	2499.9	246.26	54576.6	2020.23	141863	0	0	217.002	34093.5	270.787	107001	0	0	0	0	6.99622	1638.43	0	0	337.894	108302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5720.75	414180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	0	0	4.3424e-05	4.92141e-05	0.065558	0.0101118	0.00462165	0.0104066	3.55238e-05	4.90768e-05	2364.76	12825.9	0	0	0.547013	55.4871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.3625	2880.51	0	0	2022.07	141863	0	0	570.336	67255.6	0	0	0	0	0	0	7.62905	1825.12	0	0	1206.36	166947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	880.276	224548	0	0	0	0	0	0	890.819	294768	0	0	0	0	0	0	0	0	0	0	0	0
114	0	0	4.5635e-05	5.34527e-05	0.385189	0.0656472	0.0052886	0.0129765	3.73466e-05	5.3201e-05	1891.57	10117.2	0	0	0.479444	38.5246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.5676	3024.32	170.445	61482.5	0	0	0	0	269.912	78885.2	0	0	0	0	0	0	8.55607	2074.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3876.12	489311	0	0	0	0	0	0	0	0
115	0	0	4.67857e-05	5.82148e-05	0.198405	0.0379873	0.00608263	0.0154775	3.87758e-05	5.79814e-05	1.73544	10.4354	0	0	0.619801	63.5922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	528.693	97348.9	0	0	0	0	9.71313	2365.23	0	0	2021.52	141863	0	0	131.299	34909	151091	153618	0	0	318.618	123227	8.11372	1924.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520.766	170712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116	0	0	4.9197e-05	6.39021e-05	0.224886	0.0341356	0.00738186	0.0195158	4.0812e-05	6.36519e-05	0.574658	3.88407	0	0	0.657992	73.9532	0	0	0	0	0	0	0	0	0	0	1.18013e+06	3.83363e+08	0	0	0	0	0	0	74.0744	32729.1	0	0	0	0	13.6417	3687.05	1544.91	152817	0	0	0	0	92.8171	28907.5	1037.73	173989	0	0	0	0	8.523	2019.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21087.3	440786	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117	0	0	4.97401e-05	7.06633e-05	0.28359	0.0368336	0.00746959	0.0197323	4.23014e-05	7.04752e-05	1.05544	9.31863	0	0	0.682577	67.6976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.4255	3839.92	377.163	89231.8	2021.69	141863	0	0	231.345	57240.2	0	0	0	0	0	0	7.13914	1727.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23779.6	440785	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118	0	0	5.32849e-05	7.95929e-05	0.109786	0.0172222	0.00847657	0.0249833	4.47726e-05	7.93792e-05	1.99591	6.29762	29.3244	1362	0.786946	81.4306	0	0	0	0	0	0	0	0	0	0	1.29523e+06	2.37807e+08	0	0	0	0	0	0	194.03	65862.4	0	0	0	0	10.5507	3317.78	0	0	0	0	0	0	294.086	64035.2	506.156	130249	0	0	0	0	7.10503	1759.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119	0	0	5.70996e-05	9.1507e-05	0.0800048	0.0115331	0.00961544	0.0303787	4.82928e-05	9.13101e-05	0.385733	2.09311	0	0	0.753615	70.6807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.42692	2907.61	165.77	55609.9	0	0	0	0	259.147	87884.9	421.648	153138	0	0	0	0	7.87342	1913.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3398.47	414181	0	0	0	0	0	0	0	0	0	0	0	0	1080.45	498758	0	0	0	0	0	0	0	0
120	0	0	6.22253e-05	0.000107513	0.0783623	0.0156868	0.0130126	0.0396351	5.24428e-05	0.000107261	0.432304	2.68073	0	0	0.690177	70.7299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225.525	73490.3	0	0	0	0	9.31457	2913.39	0	0	0	0	0	0	152.488	45710.5	0	0	0	0	0	0	6.99516	1897.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	998.313	224521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121	0	0	6.59613e-05	0.000130192	0.126962	0.0212365	0.0139406	0.0480885	5.82719e-05	0.000130055	4.67869	74.446	0	0	1.25693	112.644	0	0	0	0	0	0	0	0	0	0	401835	2.47958e+08	0	0	0	0	0	0	74.9355	37689.8	0	0	479.584	151441	12.279	3274.9	108.312	48048.3	0	0	0	0	445.186	75751.7	279.451	131924	0	0	0	0	7.68019	2186.18	0	0	500.036	118985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	517.842	220962	3431.37	453393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122	0	0	7.35107e-05	0.000164999	0.0993276	0.0177023	0.0167877	0.0622989	6.6408e-05	0.000165047	3.25083	40.7492	0	0	2.46752	197.599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134.52	62401.1	0	0	0	0	17.2251	4874.13	266.292	114170	0	0	0	0	149.263	38759.8	60.5438	34108.5	0	0	0	0	8.1508	2166.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123	0	0	8.67648e-05	0.000224667	0.130333	0.0196516	0.0178086	0.0731096	7.98035e-05	0.000224831	2260.57	12456.4	0	0	1.93119	173.716	0	0	0	0	0	0	0	0	0	0	433394	2.22723e+08	0	0	0	0	0	0	0	0	0	0	0	0	24.7294	8122.06	0	0	0	0	0	0	119.16	48418.6	190.048	116705	0	0	0	0	8.0637	2347.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124	0	0	0.000109611	0.000341345	0.144055	0.024671	0.0265591	0.101309	0.000105505	0.000342322	10458	48295	0	0	4.31706	388.963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.4861	6842.34	217.825	56861.9	2020.46	141863	0	0	366.78	85712.5	6848.51	171814	0	0	0	0	13.0149	3239.2	0	0	0	0	0	0	0	0	813.501	205398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125	0	0	0.000164928	0.000599321	0.13164	0.0214285	0.0359387	0.151846	0.000158591	0.000601672	3096.58	16477.3	10.0304	274.524	6.19788	484.775	0	0	0	0	80.3649	23227.5	0	0	0	0	0	0	0	0	0	0	0	0	142.321	62704.6	0	0	0	0	40.7224	10224.4	102.672	45085.3	0	0	0	0	0	0	0	0	0	0	0	0	17.6239	5190.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26879.7	440784	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	0	0	0.000303516	0.00131238	0.0941952	0.0163802	0.075734	0.263672	0.000292181	0.00132183	2792.09	16242.1	0	0	3.42402	238.245	0	0	0	0	0	0	0	0	0	0	3.99231e+06	7.28584e+09	0	0	0	0	0	0	244.673	81874.7	0	0	0	0	65.0233	16211.1	0	0	0	0	0	0	162.942	66108.3	0	0	0	0	0	0	21.451	5968.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127	0	0	0.000767418	0.00392375	0.215869	0.0328374	0.148447	0.486694	0.000749766	0.00397009	1952.24	12136.4	0	0	9.54971	1082.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83.0051	25748.6	0	0	0	0	0	0	1557.12	184654	0	0	0	0	0	0	76.2471	16221.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10460.7	224690	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128	0	0	0.00280979	0.0157656	0.197609	0.0310855	0.306266	0.632096	0.00273095	0.0164082	1748.13	9941.01	0	0	15.2467	1734.89	0	0	0	0	0	0	0	0	0	0	0	0	385.099	68401.9	0	0	0	0	0	0	0	0	0	0	280.575	63824.6	327.445	107632	2019.16	141864	0	0	791.774	73666.8	0	0	404.309	135409	0	0	135.886	21652.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4953.47	453392	21564.3	440785	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129	0	0	0.0194402	0.0759948	0.106498	0.0217574	0.226045	0.459367	0.014842	0.101451	3.3815	44.8925	0	0	9.0163	1101.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153.535	62096.3	0	0	0	0	167.167	36489.9	0	0	0	0	0	0	0	0	251.65	120150	401.732	146029	0	0	99.8333	22708.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17758.4	440787	0	0	0	0	0	0	0	0	0	0	0	0	0	0
130	0	0	0.181788	0.187757	0.128902	0.0165987	0.228293	0.55852	0.142638	1.05886	3286.43	16854.6	0	0	15.6725	2226.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168.321	42956.6	2541.94	152728	0	0	0	0	579.173	146491	276.835	135957	0	0	0	0	121.02	21409.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122234	440792	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131	0	0	0.607281	0.265407	0.191357	0.0296941	0.204171	0.453795	1.14276	10.9386	1469.8	7545.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169.69	67197.5	0	0	0	0	97.9865	33838.7	0	0	0	0	0	0	1830.61	184623	306.794	126126	0	0	0	0	140.56	28040.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	0	0	0.576616	0.258546	0.201014	0.0327461	0.236323	0.467646	0	0	5311.97	24975.4	0	0	18.5324	2320.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.5904	22498	1221.91	152849	0	0	0	0	0	0	0	0	0	0	0	0	141.625	24118.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133	0	0	0.844857	0.255502	0.224839	0.0325547	0.233362	0.3302	0	0	23.2843	832.108	0	0	7.48543	834.916	0	0	0	0	0	0	0	0	0	0	0	0	291.96	55348.4	0	0	0	0	0	0	0	0	0	0	84.6328	21537.9	0	0	0	0	0	0	0	0	809.611	146559	0	0	0	0	135.448	24736.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
