Dose(Gy)         ln(S)        Survival      DoseB(Gy)            RBE   depth(slice)
17.1132       -15.1319    2.68091e-07        17.1132              1            116
17.0237       -15.0477    2.91644e-07        17.0237              1            117
16.8951       -14.9209    3.31067e-07        16.8951              1            118
16.737       -14.7784    3.81807e-07         16.737              1            119
16.5799       -14.6194    4.47586e-07        16.5799              1            120
16.2788       -14.3116    6.08904e-07        16.2788              1            121
15.881       -13.8912    9.27132e-07         15.881              1            122
15.0149       -12.9377    2.40554e-06        15.0149              1            123
13.3672       -11.0997    1.51172e-05        13.3672              1            124
10.3169       -7.69381     0.00045564        10.3169              1            125
6.39189       -3.83159      0.0216751        7.12697          1.115            126
2.8543       -1.47671       0.228388        4.12834        1.44636            127
0.908703      -0.434231       0.647762        1.92542        2.11887            128
0.202053     -0.0908539       0.913151       0.617774        3.05748            129
0.0391892     -0.0156723        0.98445       0.132849        3.38994            130
0.0167229    -0.00610821        0.99391       0.053942        3.22563            131
0.0196173    -0.00595888       0.994059      0.0526591        2.68432            132
0.0169308    -0.00659992       0.993422      0.0581545        3.43484            133
0.0174974    -0.00622638       0.993793      0.0549561        3.14082            134
0.017847     -0.0065014        0.99352       0.057312        3.21129            135
0.0184087    -0.00597756        0.99404      0.0528197        2.86927            136
0.0170284    -0.00583069       0.994186      0.0515564        3.02768            137
0.019114    -0.00659248       0.993429       0.058091        3.03918            138
0.0143615    -0.00502536       0.994987      0.0446001        3.10553            139
0.01829    -0.00699465        0.99303      0.0615231        3.36376            140
0.0174959    -0.00653989       0.993481      0.0576412        3.29456            141
0.0161873    -0.00522818       0.994785      0.0463568        2.86377            142
0.0174322     -0.0059971       0.994021      0.0529876        3.03964            143
0.0163535     -0.0052107       0.994803      0.0462055        2.82542            144
0.0200779     -0.0074089       0.992618      0.0650458        3.23967            145
0.0152826    -0.00541758       0.994597      0.0479943        3.14046            146
0.0175612     -0.0063528       0.993667      0.0560397         3.1911            147
0.0177221    -0.00641674       0.993604      0.0565873        3.19305            148
0.0123646    -0.00417951       0.995829      0.0372391        3.01174            149
0.0139493    -0.00479118        0.99522      0.0425678        3.05161            150
0.0134656    -0.00488652       0.995125      0.0433957        3.22272            151
0.014623     -0.0051169       0.994896      0.0453933        3.10424            152
0.0146733    -0.00505818       0.994955      0.0448846        3.05892            153
0.0157136    -0.00574971       0.994267      0.0508592        3.23664            154
0.0148893    -0.00547145       0.994543      0.0484596        3.25466            155
0.0155878    -0.00594234       0.994075      0.0525169        3.36911            156
0.0135487    -0.00495402       0.995058      0.0439815        3.24617            157
0.0126861     -0.0042811       0.995728      0.0381262        3.00536            158
0.0127166    -0.00486713       0.995145      0.0432274        3.39929            159
0.0113487    -0.00382534       0.996182      0.0341401        3.00829            160
0.014101    -0.00515893       0.994854      0.0457574        3.24497            161
0.0142745    -0.00563376       0.994382        0.04986        3.49294            162
0.0094671    -0.00304258       0.996962      0.0272546        2.87888            163
0.0156391    -0.00643373       0.993587      0.0567328        3.62762            164
0.00980734     -0.0034932       0.996513      0.0312245         3.1838            165
0.0122044    -0.00367415       0.996333      0.0328141        2.68872            166
0.0110573    -0.00340212       0.996604      0.0304235        2.75144            167
0.0111968    -0.00394861       0.996059      0.0352198        3.14554            168
0.012924    -0.00450407       0.995506      0.0400703        3.10047            169
0.0136459    -0.00503696       0.994976      0.0447006        3.27575            170
0.0120034    -0.00436252       0.995647      0.0388366        3.23546            171
0.0114987    -0.00403029       0.995978      0.0359346         3.1251            172
0.0120277    -0.00451718       0.995493      0.0401844        3.34099            173
0.0109676    -0.00364164       0.996365      0.0325286        2.96589            174
0.0131997    -0.00458742       0.995423       0.040796        3.09067            175
0.0120772    -0.00434156       0.995668      0.0386537        3.20055            176
0.0136859    -0.00505137       0.994961      0.0448256        3.27531            177
0.00978278    -0.00352422       0.996482      0.0314973        3.21966            178
0.0104075    -0.00388279       0.996125      0.0346435         3.3287            179
0.0109594    -0.00410366       0.995905      0.0365763        3.33744            180
0.0129482    -0.00450293       0.995507      0.0400604        3.09389            181
0.0105262    -0.00386035       0.996147      0.0344469         3.2725            182
0.010984    -0.00384432       0.996163      0.0343064         3.1233            183
0.0160798    -0.00645899       0.993562       0.056949        3.54164            184
0.0141579     -0.0046616       0.995349      0.0414415        2.92708            185
0.0112148    -0.00416728       0.995841      0.0371323        3.31102            186
0.0118689    -0.00456371       0.995447      0.0405896        3.41984            187
0.0102809    -0.00384387       0.996164      0.0343024        3.33654            188
0.0104313     -0.0042194       0.995789      0.0375875        3.60333            189
0.0112821    -0.00431819       0.995691      0.0384499        3.40806            190
0.0113726     -0.0042082       0.995801      0.0374897         3.2965            191
0.0101969    -0.00384229       0.996165      0.0342886        3.36265            192
0.00995656    -0.00377949       0.996228      0.0337382        3.38854            193
0.0091878    -0.00305239       0.996952      0.0273412        2.97582            194
0.00890086    -0.00341232       0.996593      0.0305132        3.42812            195
0.00891772    -0.00292707       0.997077      0.0262343        2.94182            196
0.0083718     -0.0029573       0.997047      0.0265015        3.16557            197
0.00955579      -0.003218       0.996787      0.0288021         3.0141            198
0.0110976    -0.00473535       0.995276      0.0420826        3.79203            199
