i	j	k	Dose(Gy)	gamma	gamma_f	e-	e-_f	e+	e+_f	neutron	neutron_f	proton_1	proton_1_f	proton	proton_f	deuteron	deuteron_f	triton	triton_f	He3	He3_f	alpha	alpha_f	Li6	Li6_f	Li7	Li7_f	Be7	Be7_f	Be8	Be8_f	Be9	Be9_f	Be10	Be10_f	B10	B10_f	B11	B11_f	C12	C12_f	C13	C13_f	C14	C14_f	N13	N13_f	N14	N14_f	N15	N15_f	N16	N16_f	O16	O16_f	O17	O17_f	O18	O18_f	Na23	Na23_f	Si28	Si28_f	P31	P31_f	S32	S32_f	S34	S34_f	Cl35	Cl35_f	Cl36	Cl36_f	Cl37	Cl37_f	K39	K39_f	K41	K41_f	Fe57	Fe57_f
41	0	0	1.01122e-06	8.70361e-15	1856	1.06701e-10	222	3.51529e-12	2	1.42831e-13	559	9.9909e-07	90956	7.94856e-09	478	6.74544e-11	1	0	0	0	0	2.05136e-09	111	0	0	1.69677e-11	25	7.22346e-10	21	2.75008e-13	2	0	0	0	0	4.58022e-10	223	0	0	3.22174e-10	64	2.35333e-13	1	0	0	0	0	5.17121e-12	4	0	0	0	0	4.19874e-10	143	0	0	0	0	0	0	3.21143e-12	1	5.13787e-14	1	4.52579e-14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	0	0	9.9113e-07	4.19474e-15	1821	1.29723e-10	210	6.2856e-12	3	2.57263e-15	550	9.81353e-07	84950	6.5796e-09	402	0	0	9.32233e-12	1	0	0	1.68791e-09	86	0	0	1.37668e-11	17	4.56642e-10	15	0	0	0	0	0	0	4.59696e-10	218	0	0	1.88657e-10	57	0	0	0	0	0	0	7.23745e-12	4	0	0	0	0	2.37922e-10	96	0	0	0	0	0	0	0	0	0	0	3.48624e-13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	0	0	9.36445e-07	2.11084e-15	1797	1.3248e-10	212	8.79963e-12	5	6.12361e-14	542	9.27924e-07	77362	5.92772e-09	349	4.48949e-11	1	0	0	0	0	1.06706e-09	69	0	0	1.39402e-11	16	4.27595e-10	12	3.51931e-15	2	0	0	0	0	3.96266e-10	176	0	0	1.61801e-10	49	1.3975e-13	1	0	0	0	0	3.73835e-12	3	5.14094e-12	1	0	0	3.30361e-10	113	0	0	7.50867e-13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	0	0	8.83443e-07	5.37376e-15	1767	1.14597e-10	198	7.84052e-12	5	6.23217e-14	533	8.75433e-07	69684	5.27964e-09	306	0	0	0	0	0	0	1.30498e-09	61	0	0	1.53966e-11	14	3.86635e-10	12	1.75068e-14	1	0	0	0	0	3.76968e-10	160	0	0	2.28154e-10	46	3.88233e-13	1	0	0	0	0	6.44748e-12	4	0	0	0	0	2.84852e-10	94	0	0	3.92213e-17	1	0	0	0	0	1.88686e-13	1	3.49618e-12	1	0	0	3.36292e-13	1	0	0	0	0	0	0	0	0	0	0
45	0	0	8.2393e-07	3.0369e-15	1737	1.11517e-10	189	5.1565e-12	5	9.45666e-15	526	8.16958e-07	61995	4.1051e-09	243	3.57361e-11	1	9.34486e-12	1	0	0	1.32985e-09	64	0	0	2.87081e-11	24	5.65863e-10	19	0	0	0	0	0	0	2.90909e-10	140	0	0	1.82455e-10	44	5.29927e-12	1	0	0	0	0	1.39169e-11	2	0	0	0	0	2.87268e-10	86	0	0	0	0	0	0	0	0	2.78733e-13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	0	0	7.6004e-07	3.90178e-15	1731	1.00653e-10	192	3.80269e-12	4	1.02483e-13	514	7.54471e-07	54291	3.46199e-09	200	0	0	0	0	0	0	1.08571e-09	61	0	0	1.01958e-11	18	3.09627e-10	14	5.11431e-13	1	0	0	0	0	2.36268e-10	131	0	0	1.47105e-10	36	0	0	0	0	0	0	1.21815e-12	2	0	0	0	0	2.11573e-10	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	0	0	6.90389e-07	7.49645e-15	1715	1.00458e-10	191	4.96411e-12	5	1.16555e-13	511	6.85738e-07	46466	2.8457e-09	172	0	0	2.45704e-11	2	0	0	8.78527e-10	41	0	0	1.72081e-11	18	2.66274e-10	12	0	0	0	0	0	0	1.87054e-10	102	0	0	1.03842e-10	36	0	0	0	0	0	0	8.7101e-12	2	0	0	0	0	2.0928e-10	70	0	0	0	0	0	0	0	0	4.54292e-12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	0	0	6.16897e-07	3.58055e-15	1701	8.89947e-11	170	4.03927e-12	5	5.25236e-14	503	6.13226e-07	38840	2.43199e-09	143	0	0	4.96762e-11	1	0	0	4.89426e-10	33	0	0	1.71927e-11	12	1.58487e-10	7	3.8083e-15	1	0	0	0	0	2.06782e-10	88	0	0	5.55712e-11	22	0	0	0	0	0	0	2.81622e-12	2	0	0	0	0	1.65703e-10	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	0	0	5.36967e-07	6.3988e-15	1701	9.82421e-11	190	4.59159e-12	5	8.49809e-14	502	5.34177e-07	31213	1.72467e-09	113	0	0	0	0	0	0	3.83218e-10	31	0	0	6.27941e-11	26	1.31643e-10	6	0	0	0	0	0	0	1.41942e-10	70	0	0	2.46455e-11	12	2.01875e-12	1	0	0	0	0	1.46527e-11	3	0	0	0	0	1.9611e-10	61	0	0	9.58463e-13	1	0	0	3.51543e-12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	0	0	4.77322e-07	2.48423e-15	1659	1.01868e-10	171	6.64346e-12	5	5.52486e-14	496	4.7554e-07	23542	1.41196e-09	101	0	0	0	0	0	0	8.3902e-12	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.62715e-11	1	5.43254e-11	18	0	0	0	0	0	0	1.75871e-11	4	0	0	0	0	1.64712e-10	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	0	0	3.38576e-07	1.9946e-15	1633	1.08986e-10	167	5.20508e-12	4	1.30586e-13	489	3.3744e-07	15183	9.25998e-10	69	0	0	0	0	0	0	9.50842e-12	6	0	0	0	0	0	0	7.21338e-16	2	0	0	0	0	0	0	0	0	2.91295e-11	11	0	0	0	0	0	0	2.3198e-12	2	0	0	0	0	5.46812e-11	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	0	0	1.61964e-07	1.91428e-15	1609	1.29834e-10	180	2.37445e-12	2	3.12383e-14	484	1.61387e-07	7310	3.07677e-10	36	0	0	3.03545e-12	1	0	0	5.57404e-11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.36561e-11	9	0	0	0	0	0	0	5.60456e-12	1	0	0	0	0	2.9842e-11	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	0	0	3.24714e-08	1.57308e-15	1599	9.25439e-11	160	7.32687e-12	2	2.42158e-14	474	3.21532e-08	1717	1.45756e-10	11	7.27214e-12	1	3.63579e-11	1	0	0	1.22206e-12	1	0	0	2.71786e-11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.59352e-13	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	0	0	1.72195e-09	1.96599e-15	1587	1.13328e-10	166	7.8037e-12	3	5.65137e-14	470	1.50078e-09	106	3.14577e-11	9	0	0	0	0	0	0	5.43431e-11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.54211e-13	2	0	0	0	0	0	0	0	0	0	0	0	0	1.38259e-11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	0	0	1.33294e-10	7.64398e-16	1570	8.16652e-11	138	9.00853e-12	3	7.61481e-14	465	7.51069e-12	1	2.64141e-11	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.61884e-12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	0	0	1.10245e-10	1.58635e-15	1553	7.56463e-11	153	2.09004e-12	2	4.01733e-14	465	0	0	2.38955e-11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.07114e-12	4	0	0	0	0	0	0	0	0	0	0	0	0	3.50001e-12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	0	0	1.42201e-10	1.30476e-15	1541	7.21313e-11	141	1.15355e-12	1	7.04965e-14	461	0	0	6.41492e-11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.25533e-14	1	0	0	0	0	0	0	0	0	0	0	0	0	4.64223e-12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.95485e-16	1	0	0	0	0	0	0	0	0
58	0	0	1.65468e-10	2.42818e-15	1533	8.52837e-11	156	0	0	7.52298e-14	457	0	0	7.90214e-11	15	4.66165e-15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08074e-12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	0	0	2.04496e-10	2.28175e-15	1513	9.11502e-11	148	0	0	3.04167e-14	454	0	0	1.13313e-10	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	0	0	1.59502e-10	1.49872e-15	1497	7.78033e-11	133	0	0	8.45387e-14	446	0	0	7.76391e-11	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40359e-13	1	0	0	0	0	3.83306e-12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	0	0	1.57046e-10	2.78205e-15	1496	7.18107e-11	154	0	0	5.74415e-14	443	0	0	7.45797e-11	11	2.56697e-15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.26438e-12	2	0	0	0	0	0	0	0	0	0	0	0	0	3.32794e-12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	0	0	2.38753e-10	1.22075e-15	1480	7.30631e-11	131	0	0	2.00181e-13	440	0	0	1.1492e-10	19	0	0	0	0	0	0	1.71214e-11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68398e-11	1	0	0	0	0	0	0	1.51822e-11	1	0	0	1.42498e-12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	0	0	1.97281e-10	1.81647e-15	1462	6.95379e-11	133	0	0	1.18156e-13	431	0	0	1.19711e-10	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.81579e-12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09616e-12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	0	0	1.79059e-10	1.88819e-15	1451	6.57175e-11	133	0	0	8.70212e-14	429	0	0	1.1206e-10	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40893e-13	1	0	0	0	0	0	0	0	0	0	0	0	0	1.0521e-12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	0	0	2.56011e-10	2.6623e-15	1455	7.11226e-11	148	0	0	1.80131e-14	428	0	0	1.06599e-10	14	8.10016e-15	2	0	0	0	0	7.40514e-11	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.07223e-12	3	0	0	0	0	0	0	0	0	0	0	0	0	1.36905e-13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	0	0	2.37865e-10	2.27481e-15	1412	7.71388e-11	139	0	0	9.12684e-15	422	0	0	1.49844e-10	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08704e-11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	0	0	2.01323e-10	3.45534e-15	1408	8.53865e-11	159	0	0	1.08685e-13	420	0	0	5.14605e-11	11	3.90715e-15	2	0	0	0	0	5.73235e-11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3585e-12	2	0	0	0	0	0	0	0	0	0	0	0	0	3.6779e-12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	0	0	1.89524e-10	2.19473e-15	1373	7.70711e-11	145	0	0	2.66113e-14	415	0	0	1.12424e-10	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	0	0	1.96297e-10	2.71099e-15	1366	8.58743e-11	151	0	0	4.80103e-14	410	0	0	1.04124e-10	15	4.75858e-15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.08351e-12	3	0	0	0	0	0	0	0	0	0	0	0	0	1.59691e-13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	0	0	2.07309e-10	2.2647e-15	1352	7.08812e-11	138	0	0	1.54887e-13	408	0	0	1.31157e-10	10	4.61997e-15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8308e-12	1	0	0	0	0	0	0	0	0	0	0	0	0	2.27792e-12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	0	0	1.62913e-10	9.49715e-16	1335	6.29581e-11	118	1.17953e-12	1	9.52305e-15	404	0	0	2.2827e-11	6	7.25199e-11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.28966e-13	2	0	0	0	0	0	0	0	0	2.63943e-12	1	0	0	4.50017e-13	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	0	0	1.40869e-10	1.66395e-15	1318	5.62716e-11	119	1.06944e-12	1	1.14138e-13	401	0	0	6.64566e-11	9	1.56367e-11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31846e-12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	0	0	9.64959e-11	1.23077e-15	1303	5.53385e-11	117	1.75815e-12	2	1.24178e-14	397	0	0	3.90984e-11	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.87199e-13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	0	0	1.44947e-10	2.06181e-15	1290	5.53689e-11	118	2.52318e-12	2	5.16882e-14	395	0	0	4.909e-11	7	0	0	0	0	0	0	3.03833e-11	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.24376e-12	1	0	0	0	0	0	0	0	0	0	0	1.28451e-12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	0	0	6.28443e-11	1.21438e-15	1271	5.03756e-11	110	6.25057e-12	3	2.09586e-13	389	0	0	3.6884e-12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.31895e-12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	0	0	1.75718e-10	2.1649e-15	1262	4.89861e-11	122	7.77161e-12	4	1.1817e-13	388	0	0	5.68019e-11	11	0	0	0	0	0	0	4.9193e-11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57236e-12	1	0	0	0	0	0	0	0	0	0	0	1.12724e-11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	0	0	1.43576e-10	1.43764e-15	1256	5.27864e-11	115	1.44404e-11	4	8.50685e-15	380	0	0	7.36976e-11	13	3.76025e-15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.46763e-12	2	0	0	1.70743e-13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	0	0	1.12577e-10	1.54243e-15	1236	4.87944e-11	108	4.73322e-12	4	3.622e-14	378	0	0	4.46967e-11	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43152e-11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	0	0	1.10769e-10	1.54333e-15	1223	4.66418e-11	108	8.11288e-12	5	2.03913e-13	377	0	0	5.48659e-11	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.42541e-13	2	0	0	0	0	0	0	0	0	0	0	0	0	1.78635e-17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	0	0	1.45649e-10	1.08507e-15	1217	4.98097e-11	107	4.59272e-12	4	3.41939e-14	372	0	0	8.70826e-11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.12858e-12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81	0	0	1.76329e-10	2.44016e-15	1211	5.8854e-11	124	6.83277e-12	4	9.51944e-14	365	0	0	1.03482e-10	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.42466e-13	1	0	0	0	0	0	0	0	0	0	0	0	0	6.22007e-12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82	0	0	8.20975e-11	1.47664e-15	1194	5.95724e-11	120	6.8855e-13	1	4.41599e-14	362	0	0	1.5904e-11	6	0	0	0	0	0	0	1.12119e-12	1	0	0	0	0	0	0	0	0	2.67011e-12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.09557e-12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	0	0	1.50663e-10	1.803e-15	1190	5.41583e-11	126	3.26017e-12	3	6.19196e-14	357	0	0	6.54356e-11	7	4.44221e-15	1	0	0	0	0	1.68011e-11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.93117e-12	2	0	0	0	0	0	0	5.19793e-14	1	0	0	0	0	9.56859e-13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84	0	0	1.23574e-10	1.32761e-15	1185	5.56688e-11	113	2.99508e-12	3	3.3553e-14	355	0	0	5.88845e-11	7	1.87717e-15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.62437e-12	1	0	0	0	0	0	0	0	0	0	0	0	0	1.36404e-12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	0	0	2.43337e-10	1.23954e-15	1168	4.59444e-11	106	1.95489e-12	3	6.75548e-14	350	0	0	1.2265e-10	13	0	0	0	0	0	0	6.9391e-11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01191e-17	1	0	0	0	0	0	0	0	0	0	0	0	0	3.3278e-12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	0	0	1.02845e-10	1.84644e-15	1160	4.22813e-11	108	2.81915e-12	3	1.03346e-13	345	0	0	5.406e-11	10	1.93726e-16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5794e-12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	0	0	1.07476e-10	8.15862e-16	1137	4.56489e-11	94	3.29273e-12	3	2.28133e-14	339	0	0	5.46734e-11	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8297e-13	1	0	0	0	0	0	0	0	0	0	0	0	0	3.65411e-12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	0	0	1.09973e-10	1.20297e-15	1123	4.19833e-11	99	2.80277e-12	3	7.25546e-14	335	0	0	3.439e-11	7	0	0	0	0	0	0	2.96357e-11	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0878e-12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89	0	0	7.77113e-11	1.11405e-15	1112	4.67205e-11	94	1.28929e-12	2	6.31579e-14	332	0	0	2.93332e-11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.04032e-13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	0	0	6.4609e-11	6.8972e-16	1098	3.70078e-11	87	5.83588e-13	1	1.18462e-14	328	0	0	2.70051e-11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91	0	0	1.00103e-10	7.48042e-16	1087	3.38073e-11	86	1.36337e-12	1	8.51241e-14	325	0	0	5.70605e-11	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.71071e-12	2	0	0	0	0	0	0	2.07262e-12	1	0	0	0	0	2.00267e-12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92	0	0	1.55137e-10	7.58148e-16	1075	3.293e-11	86	1.16608e-12	2	7.47248e-14	319	0	0	3.93695e-11	9	0	0	0	0	0	0	7.47077e-11	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.11791e-12	1	0	0	0	0	0	0	0	0	0	0	0	0	2.77078e-12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	0	0	1.45361e-10	1.18601e-15	1069	4.7201e-11	94	7.50609e-13	1	3.0223e-14	315	0	0	6.76561e-11	11	0	0	0	0	0	0	1.91453e-11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.491e-12	3	0	0	1.70944e-13	1	0	0	0	0	0	0	0	0	4.91456e-12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	0	0	1.04297e-10	8.96547e-16	1063	4.56648e-11	91	2.48387e-12	2	2.51213e-14	308	0	0	4.5798e-11	7	4.42736e-15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.26234e-13	1	0	0	0	0	0	0	0	0	0	0	0	0	9.99398e-12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	0	0	1.5519e-10	1.33139e-15	1047	4.0083e-11	92	2.35228e-12	5	4.37903e-14	303	0	0	1.05659e-10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.33395e-16	1	0	0	0	0	0	0	0	0	0	0	4.30877e-12	1	2.74168e-12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96	0	0	5.56401e-11	2.05276e-15	1037	2.89795e-11	89	4.40053e-12	4	1.28295e-14	300	0	0	1.66392e-11	9	4.69126e-15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80937e-12	1	0	0	0	0	3.79191e-12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	0	0	2.60731e-10	1.61208e-15	1024	2.67119e-11	84	1.4669e-12	3	2.62979e-14	295	0	0	1.46978e-10	9	6.45346e-11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92825e-11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.72961e-12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	0	0	1.29582e-10	2.66565e-15	1016	3.45137e-11	101	1.50729e-12	3	6.20987e-15	289	0	0	2.13147e-11	6	7.11556e-11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08218e-12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99	0	0	9.25378e-11	1.22237e-15	1006	3.94252e-11	85	1.32556e-12	3	3.56299e-16	284	0	0	4.77252e-11	6	3.93566e-12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.24638e-13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	0	0	8.01975e-11	9.15663e-16	985	2.8735e-11	72	1.29949e-12	3	8.31042e-15	279	0	0	4.84633e-11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69045e-12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	0	0	4.83118e-11	8.12412e-16	979	3.14246e-11	74	1.82511e-12	4	6.50384e-15	276	0	0	1.32367e-11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.81815e-12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
