i	j	k	Dose(Gy)	gamma	gamma_f	e-	e-_f	e+	e+_f	neutron	neutron_f	proton_1	proton_1_f	proton	proton_f	deuteron	deuteron_f	triton	triton_f	He3	He3_f	alpha	alpha_f	Li6	Li6_f	Li7	Li7_f	Be7	Be7_f	Be8	Be8_f	Be9	Be9_f	Be10	Be10_f	B10	B10_f	B11	B11_f	C12	C12_f	C13	C13_f	C14	C14_f	N13	N13_f	N14	N14_f	N15	N15_f	N16	N16_f	O16	O16_f	O17	O17_f	O18	O18_f	Na23	Na23_f	Si28	Si28_f	P31	P31_f	S32	S32_f	S34	S34_f	Cl35	Cl35_f	Cl36	Cl36_f	Cl37	Cl37_f	K39	K39_f	K41	K41_f	Fe57	Fe57_f
11	0	0	4.21594e-07	1.58598e-15	1920	1.31318e-08	32236	6.05729e-13	2	1.20369e-13	682	3.96593e-07	98742	8.88247e-09	682	0	0	0	0	0	0	2.54811e-09	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22861e-10	53	0	0	0	0	0	0	5.86258e-12	6	0	0	0	0	3.05231e-10	157	0	0	1.10858e-12	1	5.18701e-13	1	0	0	0	0	0	0	0	0	1.81658e-12	1	0	0	0	0	0	0	0	0	0	0
12	0	0	4.26029e-07	1.41211e-15	1921	1.31472e-08	32519	2.4755e-12	3	8.24057e-14	691	4.01463e-07	98602	8.74451e-09	691	0	0	0	0	0	0	2.29411e-09	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16017e-10	58	0	0	0	0	0	0	6.58636e-13	1	0	0	0	0	2.59049e-10	164	0	0	0	0	0	0	0	0	8.69083e-13	1	3.16851e-13	2	0	0	0	0	0	0	0	0	6.92661e-13	1	0	0	0	0
13	0	0	4.32284e-07	1.51609e-15	1931	1.28276e-08	31982	9.62435e-12	5	7.20389e-14	686	4.07454e-07	98485	9.41211e-09	716	0	0	0	0	0	0	2.12838e-09	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25849e-10	67	5.72819e-12	1	0	0	0	0	5.48645e-12	4	0	0	0	0	3.0608e-10	156	0	0	7.43033e-12	1	0	0	0	0	0	0	0	0	0	0	1.0351e-12	1	0	0	0	0	0	0	0	0	0	0
14	0	0	4.36904e-07	3.14843e-15	1955	1.242e-08	31185	1.05316e-11	5	7.09687e-14	681	4.12998e-07	98375	9.14726e-09	713	2.98748e-15	1	0	0	0	0	1.8373e-09	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.14871e-10	69	0	0	0	0	0	0	1.57745e-11	5	0	0	0	0	2.59292e-10	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.30515e-13	3	0	0	0	0
15	0	0	4.43268e-07	2.66338e-15	1962	1.21905e-08	30789	5.85899e-12	5	1.09945e-13	677	4.18764e-07	98269	9.73078e-09	781	4.70715e-15	1	0	0	0	0	2.11593e-09	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.50109e-10	61	5.23797e-12	3	0	0	0	0	1.40257e-11	10	0	0	0	0	2.88456e-10	160	0	0	2.35035e-12	2	0	0	0	0	0	0	0	0	2.32021e-13	1	4.93295e-13	2	0	0	0	0	1.57258e-13	1	0	0	0	0
16	0	0	4.50424e-07	2.47149e-15	1969	1.20072e-08	30515	3.67267e-12	3	1.52811e-13	678	4.2486e-07	98141	1.08893e-08	823	0	0	0	0	0	0	2.16523e-09	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76855e-10	61	0	0	0	0	0	0	8.04556e-12	6	0	0	0	0	3.11522e-10	181	0	0	2.03057e-12	1	0	0	0	0	4.34066e-13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	0	0	4.57471e-07	1.78656e-15	1990	1.15066e-08	29413	0	1	1.26104e-13	677	4.31538e-07	98001	1.10667e-08	837	5.82609e-11	1	0	0	0	0	2.86623e-09	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03633e-10	54	0	0	0	0	0	0	2.26794e-11	11	1.08568e-11	1	0	0	2.74597e-10	154	0	0	0	0	1.67945e-11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.64308e-12	1	0	0	0	0
18	0	0	4.64974e-07	2.21247e-15	1998	1.12596e-08	28966	0	1	1.59439e-13	672	4.38282e-07	97850	1.15257e-08	850	0	0	0	0	0	0	3.53234e-09	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04232e-10	54	0	0	0	0	0	0	6.44238e-12	6	0	0	0	0	2.61177e-10	148	0	0	0	0	0	0	0	0	1.17214e-12	2	5.47931e-13	1	0	0	0	0	0	0	0	0	3.81982e-13	1	0	0	0	0
19	0	0	4.72129e-07	2.84659e-15	2001	1.08282e-08	28108	1.86498e-12	3	6.55951e-14	668	4.45557e-07	97701	1.20433e-08	865	9.40501e-11	1	0	0	0	0	3.08998e-09	154	0	0	0	0	0	0	0	0	2.2592e-12	1	0	0	0	0	0	0	1.8571e-10	75	0	0	0	0	0	0	3.22282e-11	8	6.50634e-12	1	0	0	2.8466e-10	174	0	0	1.7229e-12	1	0	0	0	0	1.40419e-12	2	0	0	0	0	0	0	0	0	0	0	4.18543e-13	1	0	0	0	0
20	0	0	4.78355e-07	2.78039e-15	1993	1.03819e-08	27160	5.86077e-12	3	1.17754e-13	664	4.53142e-07	97533	1.16468e-08	845	3.96309e-11	1	0	0	0	0	2.6222e-09	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43347e-10	64	0	0	0	0	0	0	9.01141e-12	6	7.79037e-12	1	0	0	3.55821e-10	164	0	0	0	0	0	0	0	0	2.56806e-13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
