i,j,k,Dose(Gy),e+,e+_f,gamma,gamma_f,e-,e-_f,neutron,neutron_f,proton,proton_f,proton_1,proton_1_f,deuteron,deuteron_f,He3,He3_f,alpha,alpha_f,Li7,Li7_f,Be8,Be8_f,Be9,Be9_f,Be10,Be10_f,B10,B10_f,B11,B11_f,B12,B12_f,C12,C12_f,C13,C13_f,C14,C14_f,N13,N13_f,N14,N14_f,N15,N15_f,O16,O16_f,O18,O18_f,Na23,Na23_f,P31,P31_f,S32,S32_f,Cl35,Cl35_f,Cl36,Cl36_f,K39,K39_f
67,0,0,3.98501e-08,1.24178e-12,2,1.63012e-15,334,1.22938e-09,2882,9.43327e-14,418,1.9534e-09,196,3.60022e-08,9306,4.29707e-15,2,0,0,6.24077e-10,17,4.45351e-13,1,0,0,0,0,0,0,0,0,0,0,0,0,1.125e-11,6,0,0,0,0,0,0,0,0,0,0,2.79916e-11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,3.98832e-08,1.02968e-12,2,6.86433e-16,311,1.25364e-09,2907,2.31851e-14,410,1.82832e-09,186,3.6545e-08,9294,0,0,0,0,2.26734e-10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31932e-12,5,0,0,0,0,0,0,0,0,0,0,2.21601e-11,15,0,0,0,0,0,0,0,0,0,0,1.5725e-15,1,0,0
69,0,0,4.03064e-08,1.58982e-13,2,3.50096e-16,304,1.16769e-09,2720,1.52027e-13,408,1.83425e-09,185,3.70982e-08,9282,0,0,0,0,1.58419e-10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69567e-11,9,0,0,0,0,0,0,0,0,0,0,3.06183e-11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,4.10573e-08,0,1,4.4316e-16,303,1.19241e-09,2772,6.8701e-14,410,1.79336e-09,180,3.78286e-08,9272,0,0,0,0,1.57339e-10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52778e-12,5,9.80906e-12,4,0,0,0,0,0,0,0,0,6.61497e-11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,4.15337e-08,0,1,5.42271e-16,303,1.16124e-09,2748,1.29748e-13,414,1.57545e-09,175,3.85941e-08,9262,0,0,0,0,1.44226e-10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35477e-12,6,0,0,0,0,0,0,4.4766e-14,1,0,0,4.73972e-11,23,0,0,2.71298e-12,1,0,0,0,0,0,0,0,0,0,0
72,0,0,4.26712e-08,5.29266e-13,2,5.08341e-16,304,1.17151e-09,2755,7.30004e-14,407,1.93373e-09,179,3.92011e-08,9251,0,0,0,0,3.06659e-10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11621e-11,6,1.95661e-12,1,0,0,0,0,8.07011e-13,1,0,0,2.37301e-11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,4.36504e-08,3.98428e-12,2,4.04237e-16,300,1.1052e-09,2607,6.41267e-14,403,2.17483e-09,183,4.00328e-08,9230,0,0,0,0,2.63865e-10,13,0,0,0,0,2.17737e-12,1,0,0,0,0,0,0,0,0,8.7785e-12,5,0,0,0,0,0,0,3.15186e-13,1,0,0,5.78737e-11,21,0,0,0,0,5.05193e-13,1,0,0,0,0,0,0,0,0
74,0,0,4.43759e-08,2.11358e-12,2,2.33774e-15,311,1.11342e-09,2662,7.46004e-14,399,2.02342e-09,181,4.09661e-08,9217,3.28645e-15,1,0,0,1.95218e-10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73581e-12,6,3.72427e-13,1,0,0,0,0,0,0,0,0,6.84607e-11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,4.58936e-08,1.42888e-12,2,4.85694e-16,299,1.0741e-09,2572,4.53507e-14,399,1.97363e-09,177,4.2394e-08,9207,0,0,0,0,3.82711e-10,17,4.11461e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,1.17099e-11,6,1.32638e-11,1,0,0,0,0,7.28419e-12,2,0,0,3.13765e-11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,4.69111e-08,1.19076e-12,2,1.44086e-15,310,1.06047e-09,2559,1.11647e-13,398,1.90143e-09,168,4.37183e-08,9181,4.46763e-15,1,0,0,1.98414e-10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67292e-12,1,0,0,0,0,0,0,0,0,0,0,2.84845e-11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,4.78462e-08,1.83889e-12,2,1.68319e-15,321,1.05398e-09,2553,1.95499e-13,393,1.52556e-09,156,4.51046e-08,9135,8.22324e-15,2,0,0,1.17988e-10,6,3.44872e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,1.76829e-11,11,0,0,0,0,0,0,0,0,0,0,2.08682e-11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,4.82455e-08,4.7557e-12,2,8.40863e-16,306,1.03521e-09,2476,1.13984e-13,392,1.6738e-09,157,4.52006e-08,9064,0,0,0,0,2.72244e-10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60783e-11,6,0,0,0,0,0,0,1.94626e-12,1,0,0,4.07707e-11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,4.82249e-08,0,1,8.49751e-16,304,9.58979e-10,2312,9.17898e-14,390,1.75034e-09,158,4.53626e-08,8972,0,0,0,0,1.19052e-10,11,3.38385e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,6.43028e-12,4,0,0,0,0,0,0,3.76396e-13,1,1.42208e-12,1,2.21844e-11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,4.85093e-08,0,1,6.46171e-16,304,9.84494e-10,2426,7.05547e-14,391,1.88179e-09,153,4.53634e-08,8887,0,0,0,0,2.3836e-10,10,3.38161e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,1.09359e-11,5,0,0,0,0,0,0,0,0,0,0,2.68836e-11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,4.83363e-08,0,1,6.79159e-16,310,9.16193e-10,2268,6.57119e-14,390,1.73431e-09,149,4.55455e-08,8788,6.54613e-16,1,0,0,1.16789e-10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6872e-12,7,0,0,0,0,0,0,0,0,0,0,1.77359e-11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,4.8259e-08,0,1,1.72775e-16,305,9.23315e-10,2269,5.4365e-14,388,1.41306e-09,142,4.567e-08,8702,0,0,0,0,2.11106e-10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31408e-11,5,0,0,0,0,0,0,0,0,0,0,2.83661e-11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,4.82156e-08,0,1,3.76355e-16,307,8.66048e-10,2127,7.84625e-14,386,1.68511e-09,143,4.54804e-08,8589,0,0,0,0,1.20379e-10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13191e-11,5,0,0,0,0,0,0,0,0,0,0,5.23139e-11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,4.82063e-08,3.91451e-12,2,2.31613e-15,317,8.28507e-10,2078,6.17587e-14,383,1.4976e-09,140,4.54926e-08,8483,4.05752e-15,1,0,0,3.5943e-10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46248e-12,3,0,0,0,0,0,0,0,0,0,0,1.97317e-11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,4.81282e-08,1.68463e-12,2,9.35225e-16,304,8.27609e-10,2032,1.12518e-13,378,1.52253e-09,136,4.55517e-08,8392,0,0,0,0,1.84333e-10,15,6.78941e-12,2,0,0,0,0,0,0,0,0,0,0,0,0,1.45967e-11,6,0,0,0,0,0,0,0,0,0,0,1.85792e-11,16,0,0,0,0,2.89427e-13,1,0,0,0,0,0,0,0,0
86,0,0,4.7425e-08,1.06043e-12,2,8.51496e-16,303,8.05284e-10,2010,3.2667e-15,376,1.1821e-09,118,4.53648e-08,8286,1.17574e-11,1,0,0,1.82196e-11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46168e-11,8,0,0,0,0,0,0,0,0,1.51942e-11,1,1.20162e-11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,4.76186e-08,7.43589e-13,2,1.88291e-15,314,8.12095e-10,2052,5.59736e-14,375,1.19907e-09,117,4.5496e-08,8181,1.66693e-15,1,0,0,6.53304e-11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69198e-11,6,0,0,3.41718e-13,2,0,0,2.45519e-12,1,0,0,2.56573e-11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,4.77122e-08,0,1,7.2089e-16,300,7.70481e-10,1940,6.82206e-14,371,1.36097e-09,121,4.53974e-08,8082,0,0,0,0,1.47741e-10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07228e-11,6,0,0,0,0,0,0,0,0,0,0,2.47855e-11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,4.72369e-08,0,1,1.19737e-15,304,7.7454e-10,1938,3.14172e-14,369,1.15983e-09,112,4.51523e-08,7963,0,0,0,0,1.12672e-10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06375e-11,9,0,0,1.70819e-13,1,0,0,0,0,0,0,1.66829e-11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,4.79245e-08,0,1,1.0666e-15,309,6.96831e-10,1751,3.25676e-14,367,1.47009e-09,128,4.55209e-08,7860,0,0,0,0,1.7234e-10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82577e-11,10,0,0,0,0,0,0,0,0,0,0,2.60391e-11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0,0,4.79277e-08,0,1,7.728e-16,310,6.7816e-10,1725,5.30819e-15,366,1.48561e-09,123,4.5354e-08,7741,0,0,0,0,3.27927e-10,13,0,0,0,0,0,0,0,0,0,0,9.35392e-12,1,0,0,2.10908e-11,5,0,0,0,0,0,0,0,0,0,0,5.15808e-11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,4.72322e-08,0,1,4.9747e-16,316,6.23565e-10,1591,3.60737e-14,361,1.47276e-09,115,4.49253e-08,7613,3.58056e-15,1,0,0,1.43925e-10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75117e-11,8,1.76462e-11,1,0,0,0,0,6.08928e-12,1,0,0,1.53223e-11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,4.67928e-08,0,1,1.77414e-15,326,6.39605e-10,1624,9.12744e-15,359,1.35322e-09,116,4.46095e-08,7493,5.05645e-15,1,0,0,1.49706e-10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.89384e-12,7,0,0,0,0,0,0,0,0,0,0,3.49008e-11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,4.64518e-08,0,1,1.25995e-15,321,5.89533e-10,1542,4.60873e-14,352,1.26281e-09,116,4.44126e-08,7374,0,0,0,0,1.50013e-10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73e-11,11,0,0,0,0,0,0,0,0,0,0,1.95396e-11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,4.63931e-08,0,1,8.69111e-16,320,5.57787e-10,1463,3.17634e-14,350,1.29741e-09,106,4.4201e-08,7246,0,0,0,0,2.83404e-10,11,3.38474e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,1.55302e-11,6,0,0,0,0,0,0,3.17068e-12,2,0,0,3.13427e-11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,4.64853e-08,0,1,1.18081e-15,319,5.22279e-10,1376,1.89343e-14,347,1.29977e-09,103,4.44246e-08,7149,0,0,0,0,2.07263e-10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45887e-11,5,0,0,0,0,0,0,0,0,0,0,1.67092e-11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,4.64778e-08,0,1,2.2453e-15,327,5.11161e-10,1327,7.45033e-14,342,1.39795e-09,106,4.43898e-08,7030,4.78023e-15,1,0,0,1.14573e-10,13,4.11454e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,2.41308e-11,5,0,0,0,0,0,0,0,0,0,0,3.60356e-11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,4.61132e-08,0,1,7.06685e-16,312,4.77305e-10,1248,5.57605e-14,338,1.27877e-09,100,4.41978e-08,6908,0,0,0,0,1.07233e-10,12,3.43863e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,1.34354e-11,8,0,0,0,0,0,0,5.34267e-12,4,0,0,2.98168e-11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,4.66914e-08,0,0,6.49296e-16,314,4.44462e-10,1169,4.60533e-14,337,1.37096e-09,95,4.47655e-08,6792,0,0,0,0,6.43765e-11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35702e-11,4,0,0,0,0,0,0,0,0,0,0,2.24197e-11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,4.61428e-08,0,0,8.12209e-16,318,4.26956e-10,1102,1.27496e-13,334,1.12839e-09,88,4.43614e-08,6663,0,0,0,0,1.77348e-10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14859e-11,6,0,0,0,0,0,0,0,0,0,0,2.70283e-11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,4.61453e-08,0,0,2.41157e-15,338,3.50919e-10,975,5.54976e-14,329,9.408e-10,73,4.46472e-08,6541,3.80203e-15,1,0,0,1.55038e-10,6,3.41253e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,1.47129e-11,11,0,0,0,0,0,0,0,0,0,0,3.30975e-11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,4.57929e-08,0,0,1.7174e-15,321,3.6078e-10,973,7.64118e-15,323,8.93771e-10,74,4.44624e-08,6416,1.14901e-15,1,0,0,5.1451e-11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42997e-11,7,0,0,0,0,0,0,0,0,0,0,9.62463e-12,8,0,0,0,0,0,0,5.55715e-13,1,0,0,0,0,0,0
103,0,0,4.558e-08,0,0,1.49316e-16,308,2.8489e-10,777,2.85617e-14,322,9.5776e-10,74,4.41004e-08,6282,0,0,0,0,1.88114e-10,14,3.40715e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,1.19189e-11,7,0,0,0,0,0,0,3.62891e-12,2,0,0,2.9869e-11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,4.55498e-08,0,0,1.74118e-15,326,2.63975e-10,747,3.5746e-14,317,1.13297e-09,77,4.39714e-08,6131,6.9119e-15,2,0,0,1.28694e-10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23616e-11,8,0,0,0,0,0,0,4.56893e-12,2,0,0,3.56206e-11,16,0,0,0,0,1.31371e-13,1,0,0,0,0,0,0,0,0
105,0,0,4.57009e-08,0,0,7.91591e-16,308,2.45025e-10,669,1.47776e-13,315,1.00111e-09,73,4.437e-08,6005,0,0,0,0,5.93751e-11,7,3.42245e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,5.92352e-12,3,0,0,0,0,0,0,0,0,0,0,1.59205e-11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,4.6403e-08,1.15507e-12,2,5.73076e-16,312,2.10317e-10,577,8.21491e-14,308,1.20327e-09,74,4.47348e-08,5886,0,0,0,0,1.74077e-10,10,3.43689e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,4.29956e-11,9,6.84011e-12,2,0,0,1.04088e-12,1,2.48549e-12,2,0,0,2.24456e-11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0,4.51351e-08,1.10508e-12,1,6.15082e-16,313,1.62321e-10,459,1.36362e-13,305,7.09177e-10,62,4.40344e-08,5723,0,0,0,0,1.53261e-10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99293e-11,9,0,0,0,0,0,0,2.80851e-12,1,0,0,4.19809e-11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,4.52704e-08,7.17023e-13,3,1.55786e-15,326,1.41495e-10,361,8.38415e-14,300,6.80827e-10,52,4.42447e-08,5575,3.60098e-11,2,0,0,6.89558e-11,5,3.38857e-12,1,0,0,0,0,0,0,0,0,2.97395e-11,1,3.15062e-11,1,1.35261e-11,9,0,0,0,0,0,0,1.86792e-12,1,0,0,1.75415e-11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,4.54503e-08,1.56473e-12,3,8.26698e-16,304,1.03991e-10,252,4.59082e-14,289,9.0961e-10,62,4.42485e-08,5428,0,0,0,0,1.10518e-10,9,3.465e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,2.94746e-11,9,0,0,0,0,0,0,0,0,0,0,4.31274e-11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,4.52986e-08,3.88177e-12,4,6.84606e-16,304,7.38499e-11,187,5.05072e-14,285,9.12378e-10,60,4.40171e-08,5269,0,0,0,0,2.15886e-10,18,1.02494e-11,3,0,0,0,0,0,0,0,0,0,0,0,0,2.99099e-11,9,0,0,0,0,0,0,3.38557e-12,1,0,0,3.18938e-11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0,0,4.47259e-08,3.64911e-12,5,1.37108e-15,294,4.73996e-11,108,3.54576e-14,283,5.82342e-10,49,4.39513e-08,5103,0,0,0,0,1.01973e-10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84004e-11,8,0,0,0,0,0,0,0,0,0,0,1.08496e-11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,4.50375e-08,8.8279e-12,5,3.47092e-16,289,3.38613e-11,67,8.26231e-14,278,7.9225e-10,49,4.3975e-08,4943,0,0,0,0,1.49188e-10,9,0,0,7.18145e-15,1,0,0,0,0,0,0,0,0,0,0,5.50535e-11,5,0,0,0,0,0,0,0,0,0,0,2.32366e-11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,4.4651e-08,2.54847e-12,5,9.32466e-16,288,2.49675e-11,51,7.40428e-14,274,8.25339e-10,49,4.36946e-08,4768,0,0,0,0,8.69498e-11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.20741e-12,6,0,0,0,0,0,0,2.69413e-13,1,0,0,1.00861e-11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,0,4.4368e-08,2.67562e-12,4,1.2412e-15,302,2.1381e-11,41,4.40333e-14,271,7.50462e-10,48,4.33853e-08,4581,1.91256e-15,1,0,0,1.79067e-10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.42913e-12,7,0,0,0,0,0,0,0,0,0,0,1.95768e-11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0,0,4.45881e-08,2.32686e-12,4,8.22518e-16,292,3.77052e-11,34,3.16381e-15,270,7.08763e-10,44,4.37011e-08,4405,0,0,0,0,7.54006e-11,7,3.41185e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,9.55193e-12,4,0,0,0,0,0,0,0,0,0,0,4.98437e-11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0,0,4.45671e-08,2.77368e-12,4,6.18532e-16,292,3.16553e-11,27,6.30999e-14,270,7.74842e-10,49,4.36412e-08,4219,0,0,0,0,8.87943e-11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23316e-11,5,0,0,0,0,0,0,0,0,0,0,1.54921e-11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,4.3968e-08,4.84507e-12,4,2.30768e-15,309,1.86624e-11,43,4.8939e-14,263,6.29585e-10,38,4.30711e-08,3982,2.35038e-15,1,0,0,1.57714e-10,8,0,0,0,0,0,0,0,0,0,0,3.30264e-11,1,0,0,3.02018e-11,10,0,0,0,0,0,0,0,0,0,0,2.284e-11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0,0,4.32402e-08,5.8509e-12,4,4.44174e-16,287,2.15418e-11,19,5.14968e-16,260,5.28287e-10,35,4.25344e-08,3761,0,0,0,0,1.03604e-10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56273e-11,11,0,0,0,0,0,0,0,0,0,0,1.08821e-11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0,0,4.33083e-08,1.76811e-12,3,1.95061e-15,299,1.55458e-11,43,1.08126e-16,255,5.27876e-10,31,4.25554e-08,3535,2.95552e-15,1,0,0,1.62404e-10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10877e-11,6,2.42289e-12,1,0,0,0,0,9.32035e-13,1,0,0,2.07905e-11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,4.31953e-08,2.6817e-12,3,7.87979e-16,284,1.33027e-11,25,3.44089e-14,247,5.28484e-10,27,4.25395e-08,3278,0,0,0,0,3.03058e-11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4455e-11,5,0,0,0,0,0,0,4.91557e-13,1,0,0,3.60656e-11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,4.32199e-08,1.59707e-12,3,4.11949e-16,282,1.56042e-11,20,1.41064e-14,244,4.78746e-10,29,4.26111e-08,3020,0,0,0,0,3.88032e-11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40895e-11,5,0,0,0,0,0,0,1.30853e-11,2,8.29363e-12,1,1.85516e-11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,4.1746e-08,1.47509e-12,2,6.82942e-16,274,2.31767e-11,20,1.13043e-14,241,4.24142e-10,23,4.12329e-08,2694,0,0,0,0,3.7414e-11,3,3.41139e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,4.2027e-13,2,0,0,0,0,0,0,2.45742e-13,1,0,0,2.24614e-11,10,0,0,0,0,3.56144e-13,1,0,0,0,0,0,0,0,0
123,0,0,3.99059e-08,2.38955e-12,2,4.81067e-16,272,1.3575e-11,22,7.41018e-15,239,2.02842e-10,13,3.96507e-08,2337,3.15471e-15,1,0,0,1.99779e-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70583e-12,1,0,0,0,0,0,0,1.865e-12,2,0,0,1.27984e-11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,0,3.57491e-08,1.48878e-12,2,6.94266e-16,260,7.68088e-12,17,8.38077e-15,236,8.48491e-11,7,3.56429e-08,1890,0,0,0,0,3.04192e-12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5561e-12,3,0,0,0,0,0,0,0,0,0,0,3.38958e-12,4,0,0,1.13983e-12,1,0,0,0,0,0,0,0,0,0,0
125,0,0,2.78487e-08,1.46852e-12,2,4.17915e-16,255,1.90638e-11,15,9.26488e-16,235,1.21983e-10,8,2.77001e-08,1376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12106e-12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,1.8671e-08,1.56088e-12,2,6.1772e-16,256,5.33315e-12,13,6.8786e-15,233,1.17295e-10,10,1.85262e-08,857,3.61408e-15,1,0,0,7.26296e-12,3,0,0,5.95827e-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32746e-11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,8.51255e-09,0,1,6.7722e-16,248,6.11439e-12,14,9.03897e-16,230,9.42188e-12,2,8.49372e-09,399,0,0,0,0,9.76784e-13,1,0,0,0,0,2.32021e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,3.1245e-09,0,1,3.23593e-16,243,8.40032e-12,11,8.49031e-15,225,1.20614e-13,1,3.11362e-09,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72396e-13,1,0,0,0,0,0,0,0,0,0,0,2.1754e-12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0,0,6.50337e-10,0,1,1.22868e-15,250,8.66199e-12,22,3.97076e-14,224,1.20804e-11,5,6.23289e-10,37,5.1864e-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10049e-13,1,0,0,0,0,0,0,0,0,0,0,5.94974e-12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,1.62394e-10,0,1,9.1891e-16,239,8.24791e-12,18,3.68965e-14,221,2.00128e-11,5,1.34095e-10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,0,0,1.12463e-10,0,1,2.35968e-16,241,1.20995e-11,14,5.70446e-14,219,6.07078e-11,5,2.32806e-11,1,4.13224e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13493e-11,1,0,0,8.35856e-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,0,1.01038e-10,0,1,5.15119e-16,239,1.69823e-11,21,1.96955e-15,218,3.89863e-11,3,0,0,4.02394e-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07627e-12,2,0,0,0,0,0,0,0,0,0,0,1.75099e-12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0,0,6.01604e-11,0,1,5.62645e-16,235,1.61431e-11,18,3.40513e-14,215,7.87981e-13,2,0,0,3.6655e-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53967e-12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,0,1.65301e-11,0,1,7.24665e-16,231,5.42081e-12,15,5.30351e-14,213,1.10556e-11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0,5.32108e-11,0,1,1.12829e-16,228,4.05877e-12,6,5.76375e-15,211,2.74916e-11,5,0,0,0,0,0,0,1.03498e-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93015e-12,2,0,0,0,0,0,0,0,0,0,0,4.37458e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,3.16371e-11,6.42327e-13,2,3.97947e-16,226,7.4809e-12,13,3.72793e-14,208,2.0557e-11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91921e-12,1,0,0,0,0,0,0,0,0,0,0,3.6042e-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,3.85078e-11,2.96589e-12,2,1.24031e-15,236,6.58295e-12,24,5.09476e-14,206,2.16227e-11,5,0,0,3.90545e-15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.16931e-12,4,0,0,0,0,0,0,0,0,0,0,1.10772e-13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
