i,j,k,Dose(Gy),e+,e+_f,gamma,gamma_f,e-,e-_f,neutron,neutron_f,proton,proton_f,proton_1,proton_1_f,deuteron,deuteron_f,He3,He3_f,alpha,alpha_f,Li7,Li7_f,Be8,Be8_f,Be9,Be9_f,Be10,Be10_f,B10,B10_f,B11,B11_f,B12,B12_f,C12,C12_f,C13,C13_f,C14,C14_f,N13,N13_f,N14,N14_f,N15,N15_f,O16,O16_f,O18,O18_f,Na23,Na23_f,P31,P31_f,S32,S32_f,Cl35,Cl35_f,Cl36,Cl36_f,K39,K39_f
13,0,0,2.82005e-08,0,0,9.4387e-16,202,1.68097e-09,3449,2.76335e-16,241,9.79879e-10,126,2.49903e-08,9883,1.60723e-11,2,0,0,5.15733e-10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49349e-12,2,0,0,0,0,0,0,9.86729e-12,2,0,0,6.17862e-12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,2.79207e-08,0,0,4.09595e-16,195,1.64969e-09,3318,5.49429e-14,250,9.2189e-10,126,2.5076e-08,9868,0,0,0,0,2.56925e-10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3372e-12,1,0,0,0,0,0,0,0,0,0,0,1.08216e-11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,2.81989e-08,0,0,2.28013e-16,192,1.65144e-09,3331,1.35107e-13,254,1.1082e-09,129,2.52262e-08,9860,0,0,0,0,1.7765e-10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46498e-12,3,0,0,0,0,0,0,0,0,0,0,3.08834e-11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,2.83292e-08,0,0,4.86303e-16,197,1.60852e-09,3266,2.98276e-14,264,1.02985e-09,138,2.53272e-08,9856,0,0,0,0,3.53608e-10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6008e-12,2,0,0,0,0,0,0,5.66355e-13,1,0,0,7.7491e-12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,2.87214e-08,0,0,4.13491e-16,202,1.61993e-09,3324,3.8088e-14,266,1.25007e-09,157,2.54273e-08,9843,0,0,0,0,4.12671e-10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4355e-12,6,0,0,0,0,0,0,0,0,0,0,5.09731e-12,6,0,0,0,0,0,0,0,0,8.34999e-13,1,0,0,0,0
18,0,0,2.88564e-08,0,0,4.80986e-16,205,1.64607e-09,3348,5.1771e-14,274,1.23331e-09,165,2.5447e-08,9831,0,0,0,0,4.74171e-10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94728e-12,2,0,0,0,0,0,0,5.57269e-13,1,0,0,5.22896e-11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,2.89779e-08,0,0,4.04075e-16,211,1.58032e-09,3246,6.53257e-14,274,1.37627e-09,171,2.55867e-08,9818,0,0,0,0,4.11573e-10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17856e-11,5,0,0,0,0,0,0,0,0,0,0,1.11288e-11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,2.93989e-08,0,0,3.88247e-16,213,1.63869e-09,3381,1.08709e-13,276,1.56323e-09,181,2.57324e-08,9809,0,0,0,0,4.23751e-10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89286e-11,5,0,0,0,0,0,0,4.13416e-13,1,0,0,2.13853e-11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,2.93921e-08,0,0,4.35692e-16,213,1.65518e-09,3361,1.52845e-14,280,1.3155e-09,180,2.5887e-08,9797,2.15724e-11,1,0,0,4.77783e-10,10,0,0,0,0,0,0,0,0,2.46522e-11,1,0,0,0,0,3.12605e-12,3,0,0,0,0,0,0,0,0,0,0,6.81196e-12,5,0,0,5.00181e-13,1,0,0,0,0,0,0,0,0,0,0
22,0,0,2.98688e-08,0,0,5.41662e-16,215,1.64679e-09,3358,7.81146e-14,283,1.83543e-09,195,2.58802e-08,9788,0,0,0,0,4.58461e-10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33074e-12,7,0,0,0,0,0,0,0,0,0,0,3.95661e-11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,2.96188e-08,0,0,9.21061e-16,227,1.59694e-09,3313,7.34294e-14,283,1.7162e-09,191,2.60806e-08,9775,3.41742e-15,1,0,0,2.17826e-10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46966e-12,4,0,0,0,0,0,0,0,0,0,0,3.66775e-12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,3.01951e-08,0,0,6.06762e-16,220,1.63004e-09,3373,1.11557e-13,294,2.04378e-09,209,2.61581e-08,9766,0,0,0,0,3.43397e-10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9898e-12,7,0,0,0,0,0,0,0,0,0,0,6.51316e-12,5,0,0,0,0,3.14638e-12,2,0,0,0,0,0,0,0,0
25,0,0,3.01638e-08,0,0,3.57726e-16,225,1.67101e-09,3426,8.07593e-14,300,1.84025e-09,210,2.62584e-08,9752,1.98533e-15,1,0,0,3.72685e-10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49519e-12,3,0,0,0,0,0,0,0,0,0,0,1.7817e-11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,3.03983e-08,0,0,3.65437e-16,223,1.54351e-09,3210,2.05117e-14,309,2.05778e-09,218,2.6328e-08,9740,0,0,0,0,4.427e-10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.96849e-12,4,0,0,0,0,0,0,0,0,0,0,1.63567e-11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,2.99646e-08,0,0,2.92504e-16,223,1.63328e-09,3369,4.17105e-14,307,1.78718e-09,205,2.64571e-08,9723,0,0,0,0,6.37635e-11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.84136e-12,3,0,0,0,0,0,0,8.10808e-13,1,0,0,1.56213e-11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,3.06544e-08,0,0,5.68084e-16,232,1.60593e-09,3352,1.35235e-13,314,2.11152e-09,209,2.65449e-08,9715,0,0,0,0,3.52161e-10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30454e-11,7,0,0,0,0,0,0,0,0,0,0,2.67014e-11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,3.08416e-08,0,0,4.0371e-16,237,1.64668e-09,3430,2.28122e-14,317,2.20246e-09,215,2.67369e-08,9706,0,0,0,0,1.99771e-10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42465e-11,6,0,0,0,0,0,0,0,0,0,0,1.14113e-11,8,1.32511e-13,1,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,3.07184e-08,0,0,4.16292e-16,238,1.58234e-09,3346,7.08994e-14,323,2.04943e-09,214,2.68621e-08,9697,0,0,0,0,1.9711e-10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.902e-11,4,0,0,0,0,0,0,0,0,0,0,8.30536e-12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,3.06879e-08,0,0,1.33346e-15,245,1.59168e-09,3319,2.80348e-14,326,1.82742e-09,206,2.69486e-08,9684,5.14428e-15,1,0,0,2.8711e-10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83704e-12,4,0,0,0,0,0,0,0,0,0,0,2.82132e-11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,3.09406e-08,0,0,2.49199e-16,247,1.60228e-09,3365,1.85403e-14,328,2.0504e-09,212,2.70923e-08,9674,0,0,0,0,1.6722e-10,10,0,0,0,0,0,0,2.16972e-12,1,0,0,0,0,0,0,4.57014e-12,5,0,0,0,0,0,0,0,0,0,0,2.17298e-11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,3.09679e-08,0,0,1.67108e-15,260,1.59574e-09,3378,3.47257e-14,335,1.77757e-09,209,2.73277e-08,9666,6.66929e-15,2,0,0,2.24323e-10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7201e-11,6,0,0,0,0,0,0,0,0,0,0,2.53166e-11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,3.17861e-08,0,0,4.47624e-16,252,1.63763e-09,3425,4.80442e-14,341,2.17217e-09,226,2.74408e-08,9656,0,0,0,0,4.90486e-10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.72962e-12,4,0,0,0,0,0,0,6.67213e-12,2,2.27298e-11,1,7.86919e-12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
